"tool_mage_url","tool","tool_description","category","upvotes","tags"
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6450196ea2df15c483806610_644a2768744d3189090a0dc3_share-img.jpeg","Guidde","A tool to create video documentations.","Productivity","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644ffbfac97b6d14b9491238_ad%20(1).png","Artify","A Suite of Awesome AI Art Tools","Generative Art","241","Image Improvement"
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644ebe475063be46a3e903fa_dropchat-logo.png","Dropchat","A platform to chat with books and documents.","Chat","24",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644ec01283a43419bfd5665e_3dpresso-ai-logo.png","3DPresso","A platform to extract 3d models from videos and create textures.","Generative Art","29",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644eba0414559b291e22e637_machinetranslation-logo.png","Machine Translation","A tool to compare language translations.","Translation","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644ea815352fdd9d1dbc9a2a_protocolpal-app-logo.png","Protocol Pal","A tool for generating common issues list.","Productivity","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644d5bba87afef868c90d9c6_magic-todo-logo.png","Magic ToDo","A tool to break down complex tasks into manageable steps.","Productivity","46",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644d593d410fbd1369a933c2_futuredesk-io-logo.png","FutureDesk","A tool with many features to use chatgpt.","Chat","29",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644c3d1c251931dd8db6b0e1_app.png","Docs AI","A tool to create chat support agents and integrate them with websites and Slack.","Chat","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644d5676d14b5d5eaab18d9a_kreadoai-logo.png","Kreado AI","A tool to create multilingual language videos.","Avatar","73",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644d4bc9a480f186485d4794_arcwise-logo.png","Arcwise AI","A Google Chrome Extension for google sheets to data analysis.","Productivity","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb9a90ccf813fd902b7f_screenshot-2023-04-04-at-53252-pmpng_1680624096_23215.png","CodeDesign.ai","A platform for website building and deployment.","Productivity","44",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb992aa1092790b9df52_Frame-1-5-1.png","Copymate","A tool for SEO content generator in any languages.","Copywriting","6570",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644bc62339f6633e4b16de7d_lettria-logo.png","Lettria","A platform for text to create and deploy NLP projects without coding.","Productivity","5",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb9758b76a3f954225fe_logo-1.png","Mailbutler","A platform to compose, summarize, and organize emails.","Productivity","12",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb962aa10983d6b9dc84_logo.png","Kubee","A tool to create digital avatars.","Avatar","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644bbc14fd83bc5bcd39ad22_purplewave-ai-logo.png","Purple Wave","A platform with digital marketing tools.","Marketing","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644bbae7f1cff27b91ec89c5_reflectr-ai-logo.png","Reflectr","An app to declutter your mind and a personal notebook.","Productivity","5",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644b74c373801aadea68045f_artificialstudio-ai-logo.png","Artificial Studio","A platform with collection of ai tools to manipulate images, audio, and video.","Image Improvement","45",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644b43e8031e90b8122d2750_callannie-ai-logo.png","Call Annie","An app for video call to learn and befriend.","Chat","22",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb904491ead9b5a95c50_dptqjrCd6Lm3qYH3kYxI4hOVQZoStzRPKLNsg8DveApJ---eIKjGMlfuTF1st4tp7zG0WX5DmVHVaHsqDqegmKhrmA%3Dw128-h128-e365-rj-sc0x00ffffff.jpeg","Liner","A Google Chrome Extension for web insights & curation.","Productivity","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aeb905a83ba8acd979070_seo-image.jpeg","ByeBlankPage.ai","A tool for content generation and writing assistant.","Productivity","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644aaef6277a353dc58de202_insight7-io-logo.png","Insight7","A platform for uncovering customer insights.","Research","5",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644b4ae3425b2a40e4f593ff_pineapplebuilder-logo.png","Pineapple Builder","A platform for website building.","Productivity","24",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644a71bf7f605e89c1b392d2_open-gpt-plugin-store-logo.png","Open GPT Plugin Store","A tool to integrate GPT Plugins and AI Agents into chat applications.","Aggregators","46",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644a68a81c65be94b0afddeb_skyglass-logo.png","Skyglass","An app for vfx effects and background for film making.","Generative Video","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fc3fae35571f541a7cb_2OfzLY23DmeDQVyjuFVnx9kpfEB_0-7.png","Musicfy","A platform to create and discover AI-generated covers and remixes.","Music","63",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fc2ac31870c485849f3_opengraph.png","simpler","An AI assistant for productivity.","Productivity","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fc1dae7de0d35478785_fa4e49dc-446a-4d6f-8a78-42ec097457dd.png","EVITA","A platform for personal singing teacher with tailored vocal exercises and coaching.","Music","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fc0fae355408041a315_blog-meta-images.png","SpamSpy","A platform to detect spam.","AI Detection","16",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fbffae3550b0541a22e_og_logo.png","vidby","A platform for video translation and dubbing.","Translation","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6449679bf0776e85453323cb_everbility-logo.png","Everbility","A platform for occupational therapists' documentation assistant.","Productivity","9",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fbdac318789c75844bc_1mo8fxakrAsALC2P-JnHkMTb8gyVa7ScrOKxsyH8dUI29fVsNbphSqi4rikeYxkfRFnRe2HF3cudsIzoevkYBe_EqQ%3Dw128-h128-e365-rj-sc0x00ffffff.jpeg","ChatGPT Token Counter","A Google Chrome Extension to track chatgpt tokens count.","Productivity","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fbcac31873504584436_frame-2-JalJvk.png","Quizbot","A platform to generate quizzes.","Productivity","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64496457944d6373f40d89d6_gajix-logo.png","GAJIX","An AI learning assistant with summaries, questions, and productivity.","Productivity","5",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fbb812b4eb0db073b88_share.jpeg","Kahuna","A platform to sell subscription services to your expertise and customized trained chatbots.","Chat","9",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6449610d868f4e3fe91a0b8e_chatbot-arena-logo.png","Chatbot Arena","A platform to chat and compare large language models.","Chat","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64485fb9ac318777345841d6_opengraph.jpeg","Auto Seduction AI","An app to automate crafting personalized dating messages.","Chat","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644801e3a23a062469ff7c7f_gptgo-ai-logo.png","GPTGO","A free search engine integrated with google search results and chatgpt.","Aggregators","54",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d39ca68b08a392d4bcc0_TwitterTimeTracking.png","MonitUp","A software for productivity tracking.","Productivity","12",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d39a4bb2fa8585da7701_header.png","Quizgecko","Instantly create and share quizzes from any text, file, or web page","Marketing","18",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d399a68b08e886d4bcae_open-graph.png","PaletteBrain","A mac app to streamline workflows with chatgpt templates.","Productivity","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d398aa0877609a1722ac_logo-header-meta.png","Leexi","A platform for sales teams and automate note taking.","Productivity","2",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d397aa087797d81722a3_og.png","Regex.ai","A tool to find matching regular expressions.","Productivity","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d396aa0877822417229b_seo.png","AI Diary","A tool for journaling and personal diary.","Chat","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64480f2ec7efcdff41c8c265_her-logo.jpeg","Her","An app to chat for companionship and emotional support.","Chat","22",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64480e3d9047f01859e0e2bc_talkface-ai.webp","Talkface","An app for language learning with personalized curriculum.","Chat","22",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64480c488aaf545877a16fd8_voicify-ai-logo.png","Voicify","A platform to create AI covers of popular artists.","Music","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446d39210576a61b15f6345_assets%252Ffeature2.png","Candlestick","An app for investors to pick stocks.","Finance","26",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644805089d71503e9edcd3a5_chat-with-twitter-logo.png","Chat With Twitter Algorithm","A chatbot provides answers to your questions about twitter algorithm.","Chat","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644800940500851ff1aff2a1_gnbly-logo.png","Gnbly","An ai assistant to help with communication and organization.","Productivity","3",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446c98abf76de555583c9e3_ask-the-oracle-logo.png","Ask the Oracle","A tool for various divination and astrology services.","For Fun","34",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446c444aa0877fcb10b2c50_honestymeter-com-logo.png","Honesty Meter","A tool to identify potential bias in writing with an objective score.","Research","16",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446019f586304f4f906c45b_Show-off-your-product-1-e1680275802844.png","Lumiere3D","A tool to edit cinematic shoe videos.","Video Editing","62",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446019f8c04e97ed26ebb2a_53b81a_fbe354eca349409cad12477d5bc017b2~mv2.png","ProfilePro","A Google Chrome Extension to optimize and manage Google Business Profile.","Marketing","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446bf4da32dc01e7391bdce_nextthreebooks-logo.png","Next Three Books","A tool for personalized book recommendations.","Productivity","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6446019eee62e92b065e7ee7_hero-bg.51657b7.webp","Rythmex","A tool to convert audio-to-text.","Speech-To-Text","16",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6445f7a3b272c079065d0c46_CF-Spark-Page.png","CF Spark","A suite of AI art, copywriting, and prompting tools all in one place","Generative Art","25","Copywriting"
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed863880de4814f7ab8d_2pmbl3X5QdYXNoAVDJBwYqpAvkI.jpeg","Ogimi","A tool for custom guided meditations.","Self-Improvement","26",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed853880de1051f7aadc_AutoGPT.png","AutoGPT (Hugging Face)","A Hugging Face space to use AutoGPT.","Productivity","55",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644574aedea1ba5bcce33fdb_neuralframes-logo.png","Neural Frames","A platform to convert text into video.","Text-To-Video","140",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64456ecdb6331f528ecd6e12_aomni-logo.png","aomni","An AutoGPT ai agent for web data retrieval.","Research","30",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed81833d0975c79b918a_teamsmart-ai.jpeg","TeamSmart AI","A Google Chrome Extension for teams productivity with AI-driven tools.","Productivity","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed80f21573218fa3c7a6_https%253A%252F%252Ftechcopilot.cdn.bubble.io%252Ff1682003297993x717276698719839100%252FShare%252520Thumbnail.jpeg","Pace","An ai assistant to generate ideas and requirements.","Productivity","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6444384f1ef676eb16605239_adwrite-logo.png","Adwrite","A copywriting tool for marketers.","Marketing","14",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed7f833d0946a39b9172_preview-new.jpeg","ReRoom AI","A tool to design and customize your own spaces.","Inspiration","52",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ed7ef21573f35ea3c797_screenshot.png","Automatic Chat","A platform to create chatbot.","Chat","22",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644435d351a78b479a0f5545_myaifrontdesk-logo.png","My AI Front Desk","A virtual receptionist software to automate scheduling, Q&A, and lead generation.","Chat","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644432e8f865bdad5e076911_aidungeon-logo.png","AI Dungeon","A platform to play and create AI-generated adventures.","Gaming","30",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64441f88e98ea74d406d473e_pdfgpt-io-logo.png","PDFGPT IO","A tool to upload PDF files and talk to it.","Productivity","49",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644188262619de3d297f9559_og_img_free.jpeg","Free Profile Picture Maker","A tool to create professional profile pictures.","Image Improvement","94",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442d16e17899c64298873a9_codeconvert-ai-logo.png","CodeConvert AI","A tool to automate code conversion between programming languages.","Generative Code","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442d0dc17899c0bbd882d84_kreateable-logo.png","Kreateable","A platform for logos, social media posts, ads, and brand management.","Marketing","27",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6441881e45bedc2dc3133df2_ogimage.png","Flash Insights","A tool to summarize and get actionable insights from any online content.","Research","26",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6442ca1923068b567c065db4_editair-app-logo.png","EditAir","A platform for video editing.","Video Editing","38",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6441881806cc08398074328e_cover-image.png","AI Agent","An AI assistant to perform variety of tasks.","Productivity","37",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644096e9b2e86239972ebb59_online_demo.png","Minigpt-4","A tool to upload images and chat with them with natural language.","Chat","157","Matt's Picks"
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64409649d644b1c9097d4a2e_snackprompt.jpg","Snack Prompt","A collection of curated prompts.","Prompt Guides","48",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066ec67bd5eb2d133d9fe_opengraph-image.jpeg","Vercel AI Playground","A tool to compare language models.","Research","30",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066ea194a2ac83558e3fc_opengraph-fe49e4cf545c43ca02310a8713ad59a496845e393772d716d3b0500d8937c68d.jpeg","Webscrape Ai","A tool to automate web scraping.","Productivity","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066eab85473ce833928d3_644004aced9bd240a2a17633_open_graph.jpeg","Human or Not?","A game where you guess if you just talked to an AI bot or a human.","For Fun","37",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066e967bd5e39c433d6d7_640f42cca018fda15e12f690_Website%2520%25E2%2580%2593%25C2%25A0Home%2520(1).png","Spoke.ai","A tool to aggregate, and summarizing notifications across tools.","Productivity","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066e8194a2a43c858e3d0_use-case-film-3-1.webp","Krock.io","A tool for video proofing and remote collaboration.","Productivity","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644173b0732d0117a437170d_codemate-ai-logo.png","CodeMate","A VS Code Extension to auto correcting errors and optimizing code.","Productivity","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/644066e6fc22a33aeaea0d49_logo-square.png","GitMind","A tool for collaboration and mind mapping.","Productivity","11",""
